id,school_id,date,date_precision,location,affected_communities,category,summary,source_ids,source_types,institutional_response,response_date,legal_status,verification_status,confidence,tags,created_at,updated_at,record_hash
evt_2024_0001,brown_university,2024-07-08,day,"Providence, RI",Jewish; Muslim; Palestinian; Arab,OCR complaint,"Brown University announced a voluntary agreement with the U.S. Department of Education's Office for Civil Rights related to alleged shared-ancestry harassment, including antisemitism.",src_brown_2024_07_08_resolution,University statement,"Brown said it agreed to continue nondiscrimination training, investigator training, policy clarification, and reporting commitments under the OCR resolution agreement.",2024-07-08,OCR voluntary resolution agreement announced,Verified from public source,High,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:481a4813f46361a82b37a6065a028b581e68ddcf26ac1ab29fd83766beb6202c
evt_2024_0002,drexel_university,2024-08-02,day,"Philadelphia, PA",Jewish,OCR complaint,Drexel University announced a voluntary resolution agreement with OCR after a Title VI investigation into reported harassment based on shared Jewish ancestry.,src_drexel_2024_08_02_resolution,University statement,"Drexel said the voluntary resolution reflected a commitment to take steps necessary to maintain a safe, respectful, and inclusive campus environment.",2024-08-02,OCR voluntary resolution agreement announced,Verified from public source,High,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:b123eed4172f53efbcacfc4c50031b540e7f7a5f99f3900fa7c99bb66ae836c4
evt_2024_0003,lafayette_college,2024-06-20,day,"Easton, PA",Jewish; Arab,OCR complaint,Lafayette College announced that it resolved an OCR review related to a shared-ancestry discrimination complaint.,src_lafayette_2024_06_20_resolution,University statement,"Lafayette said it would submit policy revisions to OCR, provide training, and continue cooperation under the voluntary agreement.",2024-06-20,OCR voluntary resolution agreement announced,Verified from public source,High,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:91a2a675096cb40261e78dae2babfbe1a45e50e2dd0054f2e22bd1d0494854c8
evt_2024_0004,cuny,2024-06-17,day,"New York, NY",Jewish; Palestinian; Muslim; Arab,OCR complaint,OCR announced resolutions of CUNY national-origin discrimination complaints involving shared-ancestry allegations.,src_ed_ocr_whats_new_shared_ancestry_higher_ed,Government release,OCR announced that CUNY entered a voluntary resolution agreement addressing the complaints.,2024-06-17,OCR voluntary resolution agreement reported,Verified from public source,Medium,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:af7f45bb3d7ca04750eec247a929db3bf3319a89478fca3b5007885821dd9f4f
evt_2024_0005,university_of_michigan,2024-06-17,day,"Ann Arbor, MI",Jewish; Muslim; Arab,OCR complaint,OCR announced a University of Michigan resolution agreement involving Title VI shared-ancestry harassment and discrimination response obligations.,src_ed_ocr_whats_new_shared_ancestry_higher_ed,Government release,OCR announced that the University of Michigan entered a voluntary resolution agreement addressing Title VI compliance obligations.,2024-06-17,OCR voluntary resolution agreement reported,Verified from public source,Medium,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:325bf7263c2793bd4c66e144042a357e63219444a3bf3b1776645ea59e481432
evt_2024_0006,university_of_illinois_urbana_champaign,2024-09-01,month,"Champaign, IL",Jewish; Muslim; Palestinian; Arab,OCR complaint,U.S. Department of Education Title VI guidance identified a September 2024 OCR resolution involving the University of Illinois Urbana-Champaign and allegations of shared-ancestry discrimination.,src_ed_2025_title_vi_hostile_environment,Government guidance,The Department of Education guidance describes the matter as an OCR resolution connected to Title VI hostile-environment obligations.,2024-09-01,OCR resolution referenced in Department of Education guidance,Verified from public source,Medium,title-vi; shared-ancestry; ocr; resolution-agreement,2026-06-03,2026-06-03,sha256:134d5e4a3ce0dd94ae243e15f69a302cdeaec9a9a95992a615d9a0cd2bf077b7
evt_2025_0001,columbia_university,2025-02-03,day,"New York, NY",Jewish,OCR complaint,The U.S. Department of Education announced that OCR opened a Title VI investigation into Columbia University related to reported antisemitic harassment.,src_ed_2025_02_03_five_universities,Government release,The source announces an OCR investigation. The current record does not summarize Columbia's institutional response beyond the public government action.,2025-02-03,OCR directed investigation announced,Verified from public source,High,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:9bc7291227978fb00a2844e4af93ea3180301e2d3c3d8bd9caad079e286fc376
evt_2025_0002,northwestern_university,2025-02-03,day,"Evanston, IL",Jewish,OCR complaint,The U.S. Department of Education announced that OCR opened a Title VI investigation into Northwestern University related to reported antisemitic harassment.,src_ed_2025_02_03_five_universities,Government release,The source announces an OCR investigation. The current record does not summarize Northwestern's institutional response beyond the public government action.,2025-02-03,OCR directed investigation announced,Verified from public source,High,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:19cd6b3e470703dcd01172f1c153c88c44d451a601c35e30a648bfa06f0b2747
evt_2025_0003,portland_state_university,2025-02-03,day,"Portland, OR",Jewish,OCR complaint,The U.S. Department of Education announced that OCR opened a Title VI investigation into Portland State University related to reported antisemitic harassment.,src_ed_2025_02_03_five_universities,Government release,The source announces an OCR investigation. The current record does not summarize Portland State's institutional response beyond the public government action.,2025-02-03,OCR directed investigation announced,Verified from public source,High,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:0e77e56d25994bc8939e15db98972b9a37ba408fbf49314d945cd28a12a33bd6
evt_2025_0004,university_of_california_berkeley,2025-02-03,day,"Berkeley, CA",Jewish,OCR complaint,"The U.S. Department of Education announced that OCR opened a Title VI investigation into the University of California, Berkeley related to reported antisemitic harassment.",src_ed_2025_02_03_five_universities,Government release,The source announces an OCR investigation. The current record does not summarize UC Berkeley's institutional response beyond the public government action.,2025-02-03,OCR directed investigation announced,Verified from public source,High,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:c75aa8b1af03cf1220d01f3f0ea85d5ba4d7dd72a42e9b7f5864308d999d318e
evt_2025_0005,university_of_minnesota_twin_cities,2025-02-03,day,"Minneapolis, MN",Jewish,OCR complaint,"The U.S. Department of Education announced that OCR opened a Title VI investigation into the University of Minnesota, Twin Cities related to reported antisemitic harassment.",src_ed_2025_02_03_five_universities,Government release,The source announces an OCR investigation. The current record does not summarize the university's institutional response beyond the public government action.,2025-02-03,OCR directed investigation announced,Verified from public source,High,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:22fe882d46cf1a2e931b0557329c765e76f279aa267182e7dca637bbe2968957
evt_2025_0006,columbia_university,2025-05-22,day,"New York, NY",Jewish; Israeli,Institutional response,The U.S. Department of Education stated that OCR and HHS OCR determined Columbia University violated Title VI related to harassment of Jewish students.,src_ed_2025_columbia_accreditor,Government release,The record currently summarizes the public federal finding and accreditor notification; it does not evaluate Columbia's response.,2025-05-22,Federal Title VI violation finding stated by Department of Education,Verified from public source,High,title-vi; shared-ancestry; ocr; accreditor-notification,2026-06-03,2026-06-03,sha256:f6ff89e7c855e6cd0c5423f3359a2bfbe640b4332f1b19e7f2708719218368b4
evt_2025_0007,harvard_university,2025-06-30,day,"Cambridge, MA",Jewish; Israeli,Institutional response,The U.S. Department of Education stated that HHS OCR found Harvard University violated Title VI related to discrimination and harassment against Jewish and Israeli students.,src_ed_2025_harvard_accreditor,Government release,The record currently summarizes the public federal finding and accreditor notification; it does not evaluate Harvard's response.,2025-06-30,Federal Title VI violation finding stated by Department of Education,Verified from public source,High,title-vi; shared-ancestry; hhs-ocr; accreditor-notification,2026-06-03,2026-06-03,sha256:449119ecd75cbdb5403631158191f6963692f6708bb8d9dee813ec4afbeb82c1
evt_2025_0008,haverford_college,2025-08-20,day,"Haverford, PA",Jewish; Israeli,OCR complaint,The U.S. Department of Education announced that OCR opened a directed Title VI investigation into Haverford College related to alleged antisemitic harassment.,src_ed_2025_08_20_haverford,Government release,The source announces a federal investigation. The current record does not summarize Haverford's institutional response beyond the public government action.,2025-08-20,OCR directed investigation announced,Verified from public source,High,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:c8d2999f8e85941b95d860c773dbca1be867d7b94b23cbe236f56a44ce000fff
evt_2025_0009,university_of_washington,2025-05-06,day,"Seattle, WA",Jewish,Institutional response,"The Departments of Education, Health and Human Services, and General Services Administration announced a review of antisemitic activity at the University of Washington.",src_ed_2025_05_06_university_washington,Government release,The source says the Task Force expected the university to follow up with enforcement actions and policy changes. The record does not evaluate the university's completed response.,2025-05-06,Federal review announced,Verified from public source,High,antisemitism; federal-review; task-force; campus-safety,2026-06-03,2026-06-03,sha256:cd672076d6078ce309c2626e7f3f666defb7c8cd831009085a6e6d70d689c48a
